Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
11/3/2024,,1324.7813720231122,356.76811100401966,,,74.9662795992714,102,55,0.05744279327092631,0.1865111117892795,0.004397484161568888,489,85,85,85,,,12300000,,
11/4/2024,46,6262.0900197224,2332.8444026006446,19,19,76.02210144927537,166,49,0.3806585636538888,1.449544510331723,0.019480462449216866,3175,,,,1088990,,64017811,,
11/5/2024,59,7575.466915571026,4198.623070254307,12,12,75.44561594202898,121,51,0.44946249074121497,1.4691503858841692,0.05659412730823864,5875,,,,,,83700000,,300000
11/6/2024,26,7752,2588.4332682291665,5,5,75.53360507246377,129,49,0.5428944942385273,1.3630476948208508,0.02995871838228202,3619,,,,,,86400000,,
11/7/2024,9,3249.202308306567,1100.698523757752,1,1,69.78205128205128,109,50,0.37114391127843793,1.434674242124391,0.29331842268860125,1665,,,,,,22269160,,
11/8/2024,31,6403.9166651037,,3,3,79.01054347826087,166,46,0.8897788299912907,1.3747583300042476,0.30614834510128935,,,,,,,,,
11/9/2024,46,7751.999999999999,2954.5283203125,6,6,80.46821859903382,129,46,0.9859626926539095,1.3361317485015598,0.034195929633246525,4080,,,,,,86400000,,
11/10/2024,15,7730.97499847412,3603.6244924515813,15,15,77.46739130434783,117,48,0.48826900240236215,1.3437333170572916,0.011274393852183361,4938,,,,,,85500000,,900000
11/11/2024,14,7693.021354098287,2700.286655167809,4,4,74.1722,130,46,0.7598213889205605,1.4404819913764049,0.24785657052323035,3640,,,,,,85560000,,
11/12/2024,60,7435.500264199248,4972.993259533776,47,47,77.084,102,50,1.1138834083926643,1.5770345316614034,0.038667852140930214,5833,,,,1476707,,82025834,,600000
11/13/2024,30,7541.3060993987165,3285.5041662286376,14,14,78.224,128,48,0.7471518640416357,1.4202464768913625,0.032303675662428706,4544,,,,,6102,67856806,,300000
